"","INSTNM","CITY","STABBR","ZIP","CONTROL","ADM_RATE","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS","REGION","DEP_INC_PCT_H2","MD_INC_WDRAW_2YR_TRANS_YR4_RT","IND_COMP_4YR_TRANS_YR4_RT","SD_EARN_WNE_P10","FEMALE_WDRAW_4YR_TRANS_YR6_RT","LO_INC_COMP_2YR_TRANS_YR3_RT","NOLOAN_COMP_ORIG_YR4_RT","OPENADMP","PELL_COMP_4YR_TRANS_YR3_RT","DEATH_YR2_RT","NOLOAN_UNKN_ORIG_YR2_RT","NOT1STGEN_WDRAW_ORIG_YR6_RT","HI_INC_YR8_N","CUML_DEBT_P90","C100_L4"
"5348","Elite College of Cosmetology","Lexington","TN","38351",3,"NULL","NULL","NULL","NULL","79",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1667"
"5349","Memphis Institute of Barbering","Memphis","TN","38107",3,"NULL","NULL","NULL","NULL","161",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.026"
"5350","Manuel and Theresa's School of Hair Design-Bryan","Bryan","TX","77803",3,"NULL","NULL","NULL","NULL","25",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4737"
"5351","Southwest University at El Paso","El Paso","TX","79925",3,"NULL","NULL","15000","15000","1527",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5352","Paul Mitchell the School-Austin","Austin","TX","78759",3,"NULL","NULL","NULL","NULL","175",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0238"
"5353","Aveda Institute-Provo","Provo","UT","84601",3,"NULL","NULL","NULL","NULL","118",7,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5185"
"5354","Dixie Technical College","Saint George","UT","84770",1,"NULL","NULL","NULL","NULL","480",7,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5"
"5355","Dominion School of Hair Design","Gloucester Point","VA","23062",3,"NULL","NULL","NULL","NULL","17",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.04"
"5356","Victoria's Academy of Cosmetology","Kennewick","WA","99336",3,"NULL","NULL","NULL","NULL","114",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8784"
"5357","Inland Massage Institute","Spokane","WA","99218-1257",3,"NULL","NULL","9875","9875","46",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6429"
"5358","Sunnyside Beauty Academy","Sunnyside","WA","98944",3,"NULL","NULL","NULL","NULL","6",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.8"
"5359","Wisconsin Academy","Peshtigo","WI","54157",3,"NULL","NULL","NULL","NULL","2",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0"
"5360","The Art Institute of Pittsburgh-Online Division","Pittsburgh","PA","15222-4332",3,"NULL","NULL","17014","17014","2936",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5361","University of South Florida-Sarasota-Manatee","Sarasota","FL","34243-2049",1,"0.393","1177","5587","16501","1868",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5362","Paul Mitchell the School-San Antonio","San Antonio","TX","78229",3,"NULL","NULL","NULL","NULL","264",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0467"
"5363","CEM College-Bayamon","Bayam<f3>n","PR","961",3,"NULL","NULL","7425","7425","270",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5364","Bryant & Stratton College-Wauwatosa","Wauwatosa","WI","53226",3,"NULL","NULL","17707","17707","781",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5365","The Art Institute of Michigan","Novi","MI","48377-2985",3,"NULL","NULL","15826","15826","532",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5366","The Art Institute of Austin","Austin","TX","78728",3,"NULL","NULL","17662","17662","638",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5367","Remington College-Houston Southeast Campus","Webster","TX","77598",2,"NULL","NULL","17327","17327","338",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2807"
"5368","Remington College-Shreveport Campus","Shreveport","LA","71101",2,"NULL","NULL","15390","15390","399",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5369","National American University-Austin","Austin","TX","78727-1208",3,"NULL","NULL","15000","15000","222",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5370","National American University-Wichita","Wichita","KS","67206-1097",3,"NULL","NULL","15000","15000","130",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5371","Fortis College-Landover","Landover","MD","20785-2223",3,"NULL","NULL","14335","14335","550",2,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1667"
"5372","Jenny Lea Academy of Cosmetology","Johnson City","TN","37601",3,"NULL","NULL","NULL","NULL","101",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"5373","The Hair Academy","Bismarck","ND","58501",3,"NULL","NULL","NULL","NULL","55",4,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"5374","The Art Institute of Raleigh-Durham","Durham","NC","27701",3,"NULL","NULL","17122","17122","370",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5375","Ross Medical Education Center-New Baltimore","New Baltimore","MI","48047",3,"NULL","NULL","NULL","NULL","75",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6977"
"5376","Ross College-Sylvania","Sylvania","OH","43560",3,"NULL","NULL","NULL","NULL","439",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3476"
"5377","Argosy University-Salt Lake City","Draper","UT","84020",3,"NULL","NULL","13438","13438","43",7,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5378","Escuela De Troqueleria Y Herramentaje","Bayamon","PR","959",1,"NULL","NULL","1040","1040","88",9,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8261"
"5379","Virginia College-Montgomery","Montgomery","AL","36117-2800",3,"NULL","NULL","NULL","NULL","429",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1607"
"5380","Fortis Institute-Nashville","Nashville","TN","37211",3,"NULL","NULL","17450","17450","353",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2102"
"5381","ATA College Tri-County","Springdale","OH","45246",3,"NULL","NULL","13295","13295","277",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.5"
"5382","Elite Welding Academy LLC","Cincinnati","OH","45246-1013",3,"NULL","NULL","NULL","NULL","79",3,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8784"
